transaction_id,payment_method,device_type,city_tier,network_type,hour_of_day,amount,amount_bucket,past_failed_attempts,success
TXN_010116,Netbanking,Android,Tier 1,5G,18,127.41,low,0,1
TXN_010117,UPI,iOS,Tier 2,5G,19,181.98,low,2,1
TXN_010118,Wallet,iOS,Tier 3,4G,8,98.43,low,1,1
TXN_010119,UPI,iOS,Tier 2,Wifi,18,1335.76,med,0,1
TXN_010120,Netbanking,Android,Tier 1,4G,5,280.01,low,1,1
TXN_010121,Wallet,Android,Tier 2,4G,11,4970.91,high,0,0
TXN_010122,UPI,Android,Tier 2,3G,14,142.65,low,0,1
TXN_010123,UPI,Desktop,Tier 2,5G,20,1125.93,med,3,1
TXN_010124,UPI,Android,Tier 1,4G,5,77.57,low,0,1
TXN_010125,UPI,Desktop,Tier 2,Wifi,4,11593.95,ultra_high,0,1
TXN_010126,Netbanking,Android,Tier 2,4G,13,205.68,low,1,1
TXN_010127,Netbanking,Desktop,Tier 1,4G,18,1909.17,med,0,1
TXN_010128,UPI,Android,Tier 2,5G,17,462.32,low,0,1
TXN_010129,UPI,Android,Tier 3,4G,12,2098.22,high,0,1
TXN_010130,UPI,Android,Tier 1,Wifi,8,250.24,low,0,1
TXN_010131,UPI,Android,Tier 3,Wifi,19,1038.71,med,0,1
TXN_010132,UPI,Android,Tier 1,4G,21,431.49,low,0,1
TXN_010133,UPI,Android,Tier 2,Wifi,20,22154.88,ultra_high,0,1
TXN_010134,Wallet,Android,Tier 1,4G,6,281.03,low,0,1
TXN_010135,UPI,Android,Tier 1,5G,20,238.95,low,4,0
TXN_010136,UPI,iOS,Tier 2,Wifi,11,5789.43,high,1,1
TXN_010137,Card,Android,Tier 2,Wifi,8,2123.45,high,0,1
TXN_010138,UPI,Android,Tier 2,4G,1,333.27,low,0,1
TXN_010139,PayLater,iOS,Tier 2,4G,2,1003.43,med,0,1
TXN_010140,PayLater,Android,Tier 2,4G,4,1043.17,med,1,1
TXN_010141,UPI,Desktop,Tier 3,5G,17,1224.0,med,0,1
TXN_010142,UPI,Android,Tier 2,5G,13,2199.63,high,0,1
TXN_010143,UPI,Android,Tier 1,4G,21,227.64,low,0,1
TXN_010144,UPI,Android,Tier 1,4G,18,1203.87,med,0,1
TXN_010145,UPI,Android,Tier 1,Wifi,20,597.12,med,1,1
TXN_010146,Card,Android,Tier 2,4G,4,42.54,low,0,1
TXN_010147,UPI,Android,Tier 1,4G,9,472.54,low,1,1
TXN_010148,UPI,Android,Tier 1,Wifi,15,471.9,low,0,0
TXN_010149,UPI,Android,Tier 1,4G,23,2439.71,high,0,1
TXN_010150,Wallet,Android,Tier 2,Wifi,19,4017.72,high,1,1
TXN_010151,UPI,Android,Tier 1,4G,0,1870.93,med,0,1
TXN_010152,UPI,Android,Tier 1,4G,20,70.23,low,0,1
TXN_010153,UPI,Android,Tier 2,4G,3,10939.07,ultra_high,0,1
TXN_010154,PayLater,Android,Tier 2,5G,4,3347.42,high,1,0
TXN_010155,UPI,Android,Tier 1,5G,10,810.78,med,1,1
TXN_010156,Card,Android,Tier 2,4G,13,1078.67,med,0,1
TXN_010157,Netbanking,Android,Tier 1,5G,23,1608.03,med,2,0
TXN_010158,UPI,Android,Tier 3,4G,10,1022.99,med,0,1
TXN_010159,Card,Android,Tier 1,4G,23,2464.4,high,3,1
TXN_010160,UPI,Android,Tier 3,3G,7,5041.79,high,4,0
TXN_010161,Card,Android,Tier 3,Wifi,0,90.33,low,1,1
TXN_010162,Card,Android,Tier 2,Wifi,6,578.35,med,0,1
TXN_010163,UPI,Android,Tier 1,5G,12,1428.27,med,0,1
TXN_010164,UPI,Android,Tier 2,4G,19,193.07,low,0,1
TXN_010165,Netbanking,Android,Tier 1,5G,5,11524.2,ultra_high,0,0
TXN_010166,UPI,iOS,Tier 3,Wifi,3,36.31,low,1,1
TXN_010167,UPI,iOS,Tier 3,4G,11,388.58,low,2,0
TXN_010168,UPI,Android,Tier 3,4G,4,2010.69,high,4,1
TXN_010169,Card,Android,Tier 2,4G,4,13209.57,ultra_high,0,1
TXN_010170,Card,Android,Tier 2,4G,16,1301.86,med,0,1
TXN_010171,UPI,iOS,Tier 2,4G,5,1847.87,med,0,1
TXN_010172,UPI,Android,Tier 1,3G,9,454.26,low,0,1
TXN_010173,UPI,Desktop,Tier 2,5G,15,9879.79,high,0,1
TXN_010174,Card,Android,Tier 2,4G,23,6927.91,high,0,1
TXN_010175,UPI,Android,Tier 3,5G,20,2454.36,high,0,1
TXN_010176,Card,Android,Tier 2,4G,13,45.57,low,0,1
TXN_010177,UPI,Android,Tier 3,5G,9,1041.51,med,1,1
TXN_010178,Wallet,Android,Tier 3,Wifi,21,417.18,low,0,1
TXN_010179,UPI,Android,Tier 2,5G,20,903.79,med,0,0
TXN_010180,UPI,Android,Tier 1,5G,16,510.35,med,0,1
TXN_010181,UPI,iOS,Tier 2,4G,4,1468.56,med,0,1
TXN_010182,Wallet,Android,Tier 2,5G,1,422.08,low,2,1
TXN_010183,Wallet,Android,Tier 1,5G,3,661.28,med,0,1
TXN_010184,UPI,Android,Tier 1,Wifi,17,548.2,med,0,1
TXN_010185,Card,Android,Tier 3,5G,7,1445.12,med,0,1
TXN_010186,Netbanking,Android,Tier 1,3G,13,151.73,low,4,0
TXN_010187,Card,Android,Tier 2,Wifi,12,107.11,low,2,0
TXN_010188,UPI,Android,Tier 3,5G,6,2406.78,high,0,1
TXN_010189,UPI,Android,Tier 2,Wifi,8,543.14,med,4,1
TXN_010190,UPI,Android,Tier 2,4G,3,2205.45,high,0,1
TXN_010191,Wallet,Android,Tier 2,4G,4,2446.31,high,1,1
TXN_010192,Wallet,Desktop,Tier 2,5G,14,412.7,low,0,1
TXN_010193,Card,Android,Tier 1,4G,8,451.17,low,0,0
TXN_010194,UPI,Android,Tier 3,Wifi,17,422.44,low,1,1
TXN_010195,UPI,Android,Tier 2,4G,13,167.62,low,0,1
TXN_010196,Card,iOS,Tier 2,4G,14,123.13,low,2,0
TXN_010197,Wallet,Android,Tier 2,Wifi,0,758.29,med,0,1
TXN_010198,Wallet,Android,Tier 1,4G,18,181.66,low,0,1
TXN_010199,Netbanking,Android,Tier 3,4G,0,724.99,med,0,0
TXN_010200,Card,Android,Tier 3,4G,5,298.19,low,0,0
TXN_010201,UPI,iOS,Tier 1,5G,7,309.68,low,3,1
TXN_010202,UPI,Android,Tier 3,5G,3,614.46,med,0,1
TXN_010203,Wallet,iOS,Tier 2,Wifi,15,7153.26,high,0,1
TXN_010204,Card,Android,Tier 2,4G,10,5852.26,high,0,1
TXN_010205,UPI,Android,Tier 2,Wifi,3,3215.37,high,1,1
TXN_010206,UPI,iOS,Tier 1,4G,10,991.38,med,3,1
TXN_010207,Card,Android,Tier 2,4G,9,99.98,low,0,0
TXN_010208,UPI,Android,Tier 1,4G,16,3609.37,high,0,1
TXN_010209,UPI,Android,Tier 2,4G,8,394.71,low,0,1
TXN_010210,UPI,Android,Tier 2,4G,9,5950.08,high,0,1
TXN_010211,Card,Android,Tier 3,4G,7,367.79,low,0,1
TXN_010212,Card,Desktop,Tier 2,4G,13,4336.3,high,1,1
TXN_010213,UPI,Desktop,Tier 1,Wifi,12,2248.96,high,0,1
TXN_010214,Card,Android,Tier 3,4G,2,68.54,low,0,1
TXN_010215,UPI,Android,Tier 2,3G,13,2781.12,high,0,0
TXN_010216,UPI,Android,Tier 2,Wifi,13,989.08,med,1,1
TXN_010217,Card,Android,Tier 1,4G,2,182.22,low,0,1
TXN_010218,Card,Android,Tier 3,5G,15,548.24,med,0,0
TXN_010219,Netbanking,Android,Tier 3,5G,9,15786.26,ultra_high,0,1
TXN_010220,Card,Android,Tier 2,Wifi,3,80.22,low,4,1
TXN_010221,Card,Android,Tier 3,Wifi,19,973.91,med,0,1
TXN_010222,UPI,Android,Tier 1,5G,17,430.92,low,0,1
TXN_010223,UPI,Android,Tier 3,4G,3,1833.18,med,0,1
TXN_010224,UPI,iOS,Tier 2,4G,1,3220.54,high,0,1
TXN_010225,UPI,Android,Tier 1,Wifi,10,1218.27,med,0,1
TXN_010226,PayLater,Android,Tier 2,5G,14,2874.19,high,1,1
TXN_010227,UPI,Android,Tier 2,Wifi,10,271.09,low,0,1
TXN_010228,Wallet,Android,Tier 1,5G,22,775.55,med,1,1
TXN_010229,Card,Android,Tier 1,4G,20,6925.34,high,0,1
TXN_010230,Netbanking,Android,Tier 1,3G,22,410.3,low,0,0
TXN_010231,UPI,Desktop,Tier 1,Wifi,5,312.86,low,0,0
TXN_010232,Card,Android,Tier 1,4G,17,462.27,low,0,1
TXN_010233,UPI,Android,Tier 1,4G,17,1718.14,med,0,1
TXN_010234,UPI,Android,Tier 1,5G,0,899.33,med,0,1
TXN_010235,Card,Desktop,Tier 3,5G,12,2080.37,high,0,1
TXN_010236,UPI,iOS,Tier 2,4G,0,355.84,low,0,0
TXN_010237,UPI,iOS,Tier 1,4G,12,146.07,low,0,1
TXN_010238,Card,Android,Tier 3,5G,20,399.64,low,0,1
TXN_010239,UPI,Desktop,Tier 2,4G,4,163.38,low,1,1
TXN_010240,Wallet,Android,Tier 2,4G,22,1115.54,med,2,1
TXN_010241,PayLater,Android,Tier 2,5G,16,700.63,med,0,1
TXN_010242,Wallet,iOS,Tier 2,Wifi,15,1001.83,med,4,0
TXN_010243,UPI,Desktop,Tier 1,5G,20,1235.54,med,0,1
TXN_010244,UPI,Android,Tier 1,5G,17,445.32,low,3,1
TXN_010245,Wallet,Android,Tier 2,5G,9,1989.73,med,4,1
TXN_010246,UPI,Android,Tier 2,5G,16,1102.03,med,1,1
TXN_010247,PayLater,Android,Tier 2,4G,6,443.69,low,0,1
TXN_010248,PayLater,Android,Tier 1,4G,14,1472.95,med,0,1
TXN_010249,Netbanking,Desktop,Tier 2,4G,18,1436.84,med,1,1
TXN_010250,UPI,Android,Tier 2,Wifi,8,13603.66,ultra_high,0,1
TXN_010251,UPI,iOS,Tier 3,Wifi,20,1861.9,med,2,0
TXN_010252,Netbanking,iOS,Tier 1,5G,20,3293.47,high,1,1
TXN_010253,UPI,Android,Tier 3,Wifi,4,534.94,med,2,0
TXN_010254,UPI,iOS,Tier 3,Wifi,9,296.14,low,0,1
TXN_010255,Card,Android,Tier 2,Wifi,12,1803.94,med,0,1
TXN_010256,Wallet,Android,Tier 2,4G,0,368.23,low,0,1
TXN_010257,Card,Android,Tier 1,5G,20,510.47,med,1,0
TXN_010258,Card,Android,Tier 3,5G,5,159.62,low,0,1
TXN_010259,UPI,iOS,Tier 1,5G,2,928.16,med,0,1
TXN_010260,Card,Desktop,Tier 2,4G,16,645.72,med,0,1
TXN_010261,PayLater,Android,Tier 1,5G,11,644.68,med,0,1
TXN_010262,UPI,iOS,Tier 2,4G,10,2356.18,high,0,1
TXN_010263,UPI,Android,Tier 2,Wifi,7,432.27,low,0,1
TXN_010264,Wallet,iOS,Tier 3,Wifi,11,988.36,med,0,1
TXN_010265,Card,Android,Tier 2,4G,10,473.06,low,0,1
TXN_010266,Card,Android,Tier 3,4G,21,181.75,low,0,1
TXN_010267,Card,Android,Tier 2,5G,4,1173.71,med,1,0
TXN_010268,UPI,Android,Tier 1,5G,7,1530.57,med,2,1
TXN_010269,UPI,Android,Tier 1,5G,11,2316.06,high,0,1
TXN_010270,Netbanking,Desktop,Tier 2,5G,21,1574.15,med,0,1
TXN_010271,Netbanking,Android,Tier 1,Wifi,5,514.36,med,1,1
TXN_010272,Netbanking,Desktop,Tier 2,4G,8,8408.54,high,0,0
TXN_010273,Wallet,Android,Tier 1,5G,16,881.47,med,0,0
TXN_010274,UPI,Android,Tier 2,Wifi,1,960.95,med,0,1
TXN_010275,UPI,Android,Tier 2,Wifi,0,228.08,low,0,1
TXN_010276,Netbanking,iOS,Tier 2,4G,17,406.87,low,0,0
TXN_010277,Card,Android,Tier 1,4G,2,3701.55,high,2,0
TXN_010278,Card,Android,Tier 1,4G,13,1635.64,med,0,1
TXN_010279,Netbanking,Android,Tier 1,Wifi,12,233.5,low,0,1
TXN_010280,Wallet,Android,Tier 1,4G,1,222.21,low,0,1
TXN_010281,UPI,Desktop,Tier 2,4G,21,1773.03,med,0,1
TXN_010282,UPI,Android,Tier 2,4G,3,461.75,low,0,1
TXN_010283,UPI,Android,Tier 1,4G,14,5776.88,high,0,1
TXN_010284,Card,Android,Tier 2,5G,4,42921.9,ultra_high,2,0
TXN_010285,UPI,iOS,Tier 2,5G,9,1105.07,med,1,1
TXN_010286,UPI,iOS,Tier 1,5G,8,2076.52,high,0,1
TXN_010287,UPI,Android,Tier 2,4G,17,1987.09,med,0,1
TXN_010288,UPI,Android,Tier 1,4G,2,535.5,med,0,1
TXN_010289,Card,Android,Tier 2,Wifi,13,349.77,low,0,0
TXN_010290,UPI,Android,Tier 3,4G,9,99.48,low,0,1
TXN_010291,UPI,Android,Tier 1,Wifi,16,2315.71,high,0,1
TXN_010292,Netbanking,Desktop,Tier 2,4G,14,660.85,med,0,0
TXN_010293,UPI,Android,Tier 2,4G,17,262.7,low,3,0
TXN_010294,UPI,Android,Tier 1,4G,16,501.17,med,1,1
TXN_010295,UPI,iOS,Tier 2,Wifi,2,566.52,med,0,1
TXN_010296,Netbanking,Android,Tier 2,4G,15,243.38,low,1,1
TXN_010297,UPI,Android,Tier 2,5G,18,250.36,low,0,1
TXN_010298,Card,Android,Tier 2,5G,12,1114.93,med,0,1
TXN_010299,UPI,Android,Tier 3,4G,22,318.32,low,0,1
TXN_010300,UPI,Desktop,Tier 3,4G,16,294.38,low,0,1
TXN_010301,UPI,Android,Tier 2,Wifi,22,476.43,low,0,1
TXN_010302,UPI,Android,Tier 3,4G,15,62.62,low,1,1
TXN_010303,Card,Android,Tier 1,5G,8,138.24,low,1,1
TXN_010304,Card,Desktop,Tier 2,3G,23,261.36,low,0,1
TXN_010305,PayLater,Android,Tier 1,4G,20,6061.64,high,0,0
TXN_010306,UPI,Android,Tier 1,4G,11,2637.22,high,3,1
TXN_010307,UPI,Desktop,Tier 2,4G,2,928.48,med,1,1
TXN_010308,Netbanking,Android,Tier 2,4G,8,2491.32,high,0,1
TXN_010309,UPI,Android,Tier 2,4G,15,2532.02,high,4,1
TXN_010310,UPI,Android,Tier 2,5G,4,145.35,low,0,1
TXN_010311,UPI,Android,Tier 2,5G,18,161.18,low,0,1
TXN_010312,UPI,Android,Tier 2,5G,21,398.92,low,1,1
TXN_010313,PayLater,Android,Tier 1,Wifi,12,707.34,med,0,1
TXN_010314,Netbanking,Android,Tier 1,4G,1,132.72,low,0,0
TXN_010315,Card,Android,Tier 1,4G,18,1756.95,med,0,1
TXN_010316,UPI,Android,Tier 2,4G,17,1232.12,med,0,1
TXN_010317,UPI,Android,Tier 1,4G,11,3101.65,high,0,1
TXN_010318,UPI,Android,Tier 1,4G,17,391.43,low,0,1
TXN_010319,UPI,Desktop,Tier 2,4G,4,273.48,low,0,1
TXN_010320,UPI,Android,Tier 2,Wifi,19,12108.57,ultra_high,0,0
TXN_010321,Card,Desktop,Tier 2,Wifi,19,370.97,low,0,1
TXN_010322,Card,Android,Tier 1,4G,7,382.38,low,0,1
TXN_010323,UPI,Android,Tier 2,Wifi,21,412.09,low,0,1
TXN_010324,PayLater,Android,Tier 3,Wifi,15,2225.57,high,0,1
TXN_010325,Card,iOS,Tier 3,4G,1,2271.62,high,0,1
TXN_010326,Card,iOS,Tier 2,4G,12,588.86,med,0,1
TXN_010327,Card,Android,Tier 1,3G,0,3298.3,high,0,1
TXN_010328,UPI,Desktop,Tier 2,5G,4,15699.39,ultra_high,2,1
TXN_010329,UPI,Android,Tier 1,3G,22,409.4,low,0,1
TXN_010330,UPI,Android,Tier 1,4G,20,94.36,low,3,1
TXN_010331,Netbanking,Desktop,Tier 1,4G,11,684.91,med,0,0
TXN_010332,UPI,iOS,Tier 2,4G,3,1303.23,med,0,1
TXN_010333,UPI,Desktop,Tier 2,3G,4,1398.91,med,0,1
TXN_010334,UPI,Android,Tier 2,4G,10,303.27,low,0,1
TXN_010335,UPI,Android,Tier 2,4G,9,658.37,med,0,1
TXN_010336,Netbanking,Android,Tier 1,5G,7,1515.66,med,0,1
TXN_010337,Card,Android,Tier 2,4G,20,285.52,low,2,0
TXN_010338,UPI,iOS,Tier 2,4G,8,1837.9,med,0,1
TXN_010339,UPI,Android,Tier 2,5G,6,202.39,low,1,0
TXN_010340,UPI,Android,Tier 3,4G,13,2100.49,high,0,1
TXN_010341,UPI,Android,Tier 1,4G,10,620.58,med,1,1
TXN_010342,UPI,Android,Tier 2,4G,17,10063.93,ultra_high,2,0
TXN_010343,UPI,Android,Tier 2,5G,17,582.68,med,0,1
TXN_010344,UPI,Android,Tier 2,4G,21,2528.75,high,0,1
TXN_010345,Card,iOS,Tier 2,4G,7,814.01,med,0,1
TXN_010346,Card,Android,Tier 3,5G,1,3163.71,high,0,1
TXN_010347,UPI,iOS,Tier 1,4G,21,4724.08,high,1,1
TXN_010348,UPI,Android,Tier 2,4G,20,1069.6,med,0,1
TXN_010349,Card,Android,Tier 2,5G,6,928.03,med,1,0
TXN_010350,UPI,Android,Tier 1,4G,4,3371.57,high,0,1
TXN_010351,Netbanking,iOS,Tier 1,4G,13,2349.38,high,0,0
TXN_010352,Card,Android,Tier 3,5G,13,117.64,low,0,0
TXN_010353,UPI,Android,Tier 1,5G,2,2991.12,high,0,1
TXN_010354,UPI,Android,Tier 1,5G,5,8173.13,high,0,1
TXN_010355,Card,Android,Tier 3,4G,22,3778.39,high,0,1
TXN_010356,UPI,iOS,Tier 2,4G,16,539.02,med,1,1
TXN_010357,Card,iOS,Tier 1,Wifi,23,128.48,low,0,0
TXN_010358,Wallet,Android,Tier 2,4G,7,297.47,low,0,0
TXN_010359,Card,Android,Tier 2,4G,19,2190.55,high,0,1
TXN_010360,UPI,iOS,Tier 3,5G,23,98.28,low,0,1
TXN_010361,Card,Android,Tier 2,4G,2,3997.15,high,0,1
TXN_010362,UPI,Android,Tier 3,5G,14,7508.21,high,0,1
TXN_010363,UPI,Android,Tier 1,4G,4,1420.89,med,0,1
TXN_010364,Wallet,Android,Tier 2,4G,18,2975.14,high,0,1
TXN_010365,UPI,Android,Tier 1,Wifi,1,602.23,med,0,1
TXN_010366,PayLater,iOS,Tier 1,4G,20,782.3,med,0,1
TXN_010367,Wallet,Android,Tier 2,5G,7,724.09,med,0,1
TXN_010368,UPI,Android,Tier 1,4G,8,527.17,med,1,1
TXN_010369,UPI,iOS,Tier 2,4G,4,1781.86,med,0,1
TXN_010370,UPI,Android,Tier 3,4G,2,3875.43,high,0,1
TXN_010371,UPI,Android,Tier 1,4G,11,389.83,low,0,1
TXN_010372,UPI,Android,Tier 1,3G,2,798.77,med,0,1
TXN_010373,Card,Android,Tier 2,Wifi,23,1150.1,med,0,1
TXN_010374,UPI,Desktop,Tier 3,5G,18,649.54,med,0,1
TXN_010375,UPI,iOS,Tier 2,Wifi,15,831.21,med,1,1
TXN_010376,Netbanking,Android,Tier 2,5G,15,312.06,low,0,1
TXN_010377,UPI,Android,Tier 1,4G,0,908.05,med,0,1
TXN_010378,Netbanking,Android,Tier 1,4G,16,1077.83,med,1,1
TXN_010379,UPI,Desktop,Tier 2,5G,20,672.0,med,0,1
TXN_010380,UPI,Android,Tier 1,4G,19,1683.47,med,1,1
